,title,price,address,no_bedrooms
249,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
250,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
251,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
252,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
253,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
254,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
255,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
256,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
257,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
258,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
259,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
260,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
261,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
262,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
263,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
264,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
265,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
266,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
267,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
268,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
269,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
270,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
271,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
272,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
273,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
274,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
275,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
276,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
277,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
278,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
279,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
280,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
281,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
282,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
283,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
284,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
285,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
286,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
287,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
288,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
289,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
290,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
291,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
292,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
293,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
294,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
295,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
296,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
297,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
298,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
299,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
300,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
301,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
302,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
303,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
304,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
